"module name","license","repository"
"@apidevtools/json-schema-ref-parser@9.0.9","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@babel/runtime@7.16.7","MIT","https://github.com/babel/babel"
"@byndit/azure-devops-extension-api@1.163.4","MIT","https://github.com/byndit/azure-devops-extension-api"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@popperjs/core@2.11.2","MIT","https://github.com/popperjs/popper-core"
"@restart/context@2.1.4","MIT","https://github.com/react-restart/context"
"@restart/hooks@0.3.27","MIT","https://github.com/jquense/react-common-hooks"
"@rjsf/bootstrap-4@3.2.1","MIT",""
"@rjsf/core@3.2.1","Apache-2.0","https://github.com/rjsf-team/react-jsonschema-form"
"@types/eslint-scope@3.7.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint@8.2.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@0.0.50","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/invariant@2.2.35","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.178","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@17.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@17.0.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/warning@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@webassemblyjs/ast@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-numbers@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128@1.11.1","Apache-2.0","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/utf8@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@xtuc/ieee754@1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
"@xtuc/long@4.2.2","Apache-2.0","https://github.com/dcodeIO/long.js"
"acorn-import-assertions@1.8.0","MIT","https://github.com/xtuc/acorn-import-assertions"
"acorn@8.6.0","MIT","https://github.com/acornjs/acorn"
"ajv-keywords@3.5.2","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array.prototype.find@2.0.4","MIT","https://github.com/paulmillr/Array.prototype.find"
"available-typed-arrays@1.0.5","MIT","https://github.com/inspect-js/available-typed-arrays"
"azure-devops-extension-sdk@2.0.11","MIT","https://github.com/Microsoft/azure-devops-extension-sdk"
"azure-devops-ui@2.167.22","MIT","https://github.com/Microsoft/azure-devops-ui"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"big.js@5.2.2","MIT","https://github.com/MikeMcl/big.js"
"boolean@3.1.4","MIT","https://github.com/thenativeweb/boolean"
"bootstrap@4.6.1","MIT","https://github.com/twbs/bootstrap"
"browserslist@4.19.1","MIT","https://github.com/browserslist/browserslist"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"buffer@6.0.3","MIT","https://github.com/feross/buffer"
"builtin-status-codes@3.0.0","MIT","https://github.com/bendrucker/builtin-status-codes"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"call-me-maybe@1.0.1","MIT","https://github.com/limulus/call-me-maybe"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-lite@1.0.30001287","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chrome-trace-event@1.0.3","MIT","https://github.com/samccone/chrome-trace-event"
"classnames@2.3.1","MIT","https://github.com/JedWatson/classnames"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"compute-gcd@1.2.1","MIT","https://github.com/compute-io/gcd"
"compute-lcm@1.1.2","MIT","https://github.com/compute-io/lcm"
"core-js-pure@3.20.2","MIT","https://github.com/zloirock/core-js"
"csstype@3.0.10","MIT","https://github.com/frenic/csstype"
"deepmerge@4.2.2","MIT","https://github.com/TehShrike/deepmerge"
"define-properties@1.1.3","MIT","https://github.com/ljharb/define-properties"
"dequal@2.0.2","MIT","https://github.com/lukeed/dequal"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"electron-to-chromium@1.4.20","ISC","https://github.com/kilian/electron-to-chromium"
"emojis-list@3.0.0","MIT","https://github.com/kikobeats/emojis-list"
"enhanced-resolve@5.8.3","MIT","https://github.com/webpack/enhanced-resolve"
"es-abstract@1.19.1","MIT","https://github.com/ljharb/es-abstract"
"es-module-lexer@0.9.3","MIT","https://github.com/guybedford/es-module-lexer"
"es-to-primitive@1.2.1","MIT","https://github.com/ljharb/es-to-primitive"
"es6-object-assign@1.1.0","MIT","https://github.com/rubennorte/es6-object-assign"
"es6-promise@4.2.6","MIT","https://github.com/stefanpenner/es6-promise"
"es6-string-polyfills@1.0.0","MIT",""
"escalade@3.1.1","MIT","https://github.com/lukeed/escalade"
"eslint-scope@5.1.1","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@4.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"events@3.3.0","MIT","https://github.com/Gozala/events"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-json-stringify@2.7.13","MIT","https://github.com/fastify/fast-json-stringify"
"fast-printf@1.6.9","BSD-3-Clause","https://github.com/gajus/fast-printf"
"foreach@2.0.5","MIT","https://github.com/manuelstofer/foreach"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.1.1","MIT","https://github.com/ljharb/get-intrinsic"
"get-symbol-description@1.0.0","MIT","https://github.com/inspect-js/get-symbol-description"
"glob-to-regexp@0.4.1","BSD-2-Clause","https://github.com/fitzgen/glob-to-regexp"
"globalthis@1.0.2","MIT","https://github.com/ljharb/System.global"
"graceful-fs@4.2.8","ISC","https://github.com/isaacs/node-graceful-fs"
"has-bigints@1.0.1","MIT","https://github.com/ljharb/has-bigints"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-symbols@1.0.2","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.0","MIT","https://github.com/inspect-js/has-tostringtag"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"highlight.js@11.4.0","BSD-3-Clause","https://github.com/highlightjs/highlight.js"
"https-browserify@1.0.0","MIT","https://github.com/substack/https-browserify"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"internal-slot@1.0.3","MIT","https://github.com/ljharb/internal-slot"
"intersection-observer@0.5.1","W3C-20150513","https://github.com/w3c/IntersectionObserver"
"invariant@2.2.4","MIT","https://github.com/zertosh/invariant"
"is-arguments@1.1.1","MIT","https://github.com/inspect-js/is-arguments"
"is-bigint@1.0.4","MIT","https://github.com/inspect-js/is-bigint"
"is-boolean-object@1.1.2","MIT","https://github.com/inspect-js/is-boolean-object"
"is-callable@1.2.4","MIT","https://github.com/inspect-js/is-callable"
"is-circular@1.0.2","MIT","https://github.com/tjmehta/is-circular"
"is-date-object@1.0.5","MIT","https://github.com/inspect-js/is-date-object"
"is-generator-function@1.0.10","MIT","https://github.com/inspect-js/is-generator-function"
"is-negative-zero@2.0.2","MIT","https://github.com/inspect-js/is-negative-zero"
"is-number-object@1.0.6","MIT","https://github.com/inspect-js/is-number-object"
"is-regex@1.1.4","MIT","https://github.com/inspect-js/is-regex"
"is-shared-array-buffer@1.0.1","MIT","https://github.com/inspect-js/is-shared-array-buffer"
"is-string@1.0.7","MIT","https://github.com/ljharb/is-string"
"is-symbol@1.0.4","MIT","https://github.com/inspect-js/is-symbol"
"is-typed-array@1.1.8","MIT","https://github.com/inspect-js/is-typed-array"
"is-weakref@1.0.2","MIT","https://github.com/inspect-js/is-weakref"
"jest-worker@27.4.5","MIT","https://github.com/facebook/jest"
"jquery@3.6.0","MIT","https://github.com/jquery/jquery"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"json-parse-better-errors@1.0.2","MIT","https://github.com/zkat/json-parse-better-errors"
"json-schema-compare@0.2.2","MIT","https://github.com/mokkabonna/json-schema-compare"
"json-schema-merge-allof@0.6.0","MIT","https://github.com/mokkabonna/json-schema-merge-allof"
"json-schema-ref-parser@9.0.9","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe"
"json5@2.2.0","MIT","https://github.com/json5/json5"
"jsonpointer@5.0.0","MIT","https://github.com/janl/node-jsonpointer"
"linkify-html@3.0.5","MIT","https://github.com/Hypercontext/linkifyjs"
"linkify-react@3.0.4","MIT","https://github.com/Hypercontext/linkifyjs"
"linkifyjs@3.0.5","MIT","https://github.com/Hypercontext/linkifyjs"
"loader-runner@4.2.0","MIT","https://github.com/webpack/loader-runner"
"loader-utils@2.0.2","MIT","https://github.com/webpack/loader-utils"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"markdown-to-jsx@7.1.6","MIT","https://github.com/probablyup/markdown-to-jsx"
"merge-stream@2.0.0","MIT","https://github.com/grncdr/merge-stream"
"mime-db@1.51.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.34","MIT","https://github.com/jshttp/mime-types"
"minimist@1.2.5","MIT","https://github.com/substack/minimist"
"nanoid@3.3.1","MIT","https://github.com/ai/nanoid"
"neo-async@2.6.2","MIT","https://github.com/suguru03/neo-async"
"node-releases@2.0.1","MIT","https://github.com/chicoxyzzy/node-releases"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.11.1","MIT","https://github.com/inspect-js/object-inspect"
"object-keys@1.1.1","MIT","https://github.com/ljharb/object-keys"
"object.assign@4.1.2","MIT","https://github.com/ljharb/object.assign"
"picocolors@1.0.0","ISC","https://github.com/alexeyraspopov/picocolors"
"popper.js@1.16.1","MIT","https://github.com/FezVrasta/popper.js"
"process@0.11.10","MIT","https://github.com/shtylman/node-process"
"prop-types-extra@1.1.1","MIT","https://github.com/react-bootstrap/prop-types-extra"
"prop-types@15.7.2","MIT","https://github.com/facebook/prop-types"
"punycode@1.3.2","MIT","https://github.com/bestiejs/punycode.js"
"punycode@2.1.1","MIT","https://github.com/bestiejs/punycode.js"
"querystring@0.2.0","MIT","https://github.com/Gozala/querystring"
"randombytes@2.1.0","MIT","https://github.com/crypto-browserify/randombytes"
"raw-loader@4.0.2","MIT","https://github.com/webpack-contrib/raw-loader"
"react-bootstrap@1.6.4","MIT","https://github.com/react-bootstrap/react-bootstrap"
"react-dom@17.0.2","MIT","https://github.com/facebook/react"
"react-icons@3.11.0","MIT","https://github.com/react-icons/react-icons"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-lifecycles-compat@3.0.4","MIT","https://github.com/reactjs/react-lifecycles-compat"
"react-overlays@5.1.1","MIT","https://github.com/react-bootstrap/react-overlays"
"react-transition-group@4.4.2","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@17.0.2","MIT","https://github.com/facebook/react"
"readable-stream@3.6.0","MIT","https://github.com/nodejs/readable-stream"
"regenerator-runtime@0.13.9","MIT","https://github.com/facebook/regenerator/tree/master/packages/runtime"
"rfdc@1.3.0","MIT","https://github.com/davidmarkclements/rfdc"
"roarr@7.8.0","BSD-3-Clause","https://github.com/gajus/roarr"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"scheduler@0.20.2","MIT","https://github.com/facebook/react"
"schema-utils@3.1.1","MIT","https://github.com/webpack/schema-utils"
"semver-compare@1.0.0","MIT","https://github.com/substack/semver-compare"
"serialize-error@9.0.0","MIT","https://github.com/sindresorhus/serialize-error"
"serialize-javascript@6.0.0","BSD-3-Clause","https://github.com/yahoo/serialize-javascript"
"side-channel@1.0.4","MIT","https://github.com/ljharb/side-channel"
"source-map-support@0.5.21","MIT","https://github.com/evanw/node-source-map-support"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"source-map@0.7.3","BSD-3-Clause","https://github.com/mozilla/source-map"
"stream-http@3.2.0","MIT","https://github.com/jhiesey/stream-http"
"string-similarity@4.0.4","ISC","https://github.com/aceakash/string-similarity"
"string.fromcodepoint@0.2.1","MIT","https://github.com/mathiasbynens/String.fromCodePoint"
"string.prototype.codepointat@0.2.1","MIT","https://github.com/mathiasbynens/String.prototype.codePointAt"
"string.prototype.endswith@0.2.0","MIT","https://github.com/mathiasbynens/String.prototype.endsWith"
"string.prototype.includes@1.0.0","MIT","https://github.com/mathiasbynens/String.prototype.includes"
"string.prototype.repeat@0.2.0","MIT","https://github.com/mathiasbynens/String.prototype.repeat"
"string.prototype.startswith@0.2.0","MIT","https://github.com/mathiasbynens/String.prototype.startsWith"
"string.prototype.trimend@1.0.4","MIT","https://github.com/es-shims/String.prototype.trimEnd"
"string.prototype.trimstart@1.0.4","MIT","https://github.com/es-shims/String.prototype.trimStart"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"supports-color@8.1.1","MIT","https://github.com/chalk/supports-color"
"tapable@2.2.1","MIT","https://github.com/webpack/tapable"
"terser-webpack-plugin@5.3.0","MIT","https://github.com/webpack-contrib/terser-webpack-plugin"
"terser@5.10.0","BSD-2-Clause","https://github.com/terser/terser"
"tslib@1.10.0","Apache-2.0","https://github.com/Microsoft/tslib"
"type-fest@2.11.0","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"unbox-primitive@1.0.1","MIT","https://github.com/ljharb/unbox-primitive"
"uncontrollable@7.2.1","MIT","https://github.com/jquense/uncontrollable"
"uri-js@4.4.1","BSD-2-Clause","https://github.com/garycourt/uri-js"
"url@0.11.0","MIT","https://github.com/defunctzombie/node-url"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"util@0.12.4","MIT","https://github.com/browserify/node-util"
"validate.io-array@1.0.6","MIT","https://github.com/validate-io/array"
"validate.io-function@1.0.2","MIT","https://github.com/validate-io/function"
"validate.io-integer-array@1.0.0","MIT","https://github.com/validate-io/integer-array"
"validate.io-integer@1.0.5","MIT","https://github.com/validate-io/integer"
"validate.io-number@1.0.3","MIT","https://github.com/validate-io/number"
"warning@4.0.3","MIT","https://github.com/BerkeleyTrue/warning"
"watchpack@2.3.1","MIT","https://github.com/webpack/watchpack"
"webpack-sources@3.2.2","MIT","https://github.com/webpack/webpack-sources"
"webpack@5.65.0","MIT","https://github.com/webpack/webpack"
"whatwg-fetch@3.0.0","MIT","https://github.com/github/fetch"
"which-boxed-primitive@1.0.2","MIT","https://github.com/inspect-js/which-boxed-primitive"
"which-typed-array@1.1.7","MIT","https://github.com/inspect-js/which-typed-array"
"xtend@4.0.2","MIT","https://github.com/Raynos/xtend"